UMAP1,UMAP2,Cluster,Tweet,Cluster_Label
14.044738,11.311579,72,Happy improve detail state education discover room arm.,"Cluster 72: standard, education, discover"
12.008306,12.570206,59,Page movement purpose understand almost woman reveal.,"Cluster 59: happen, girl, woman"
14.232178,11.101514,76,Force bad part society including half especially professor usually American.,"Cluster 76: school, agree, professor"
11.211578,8.278131,21,Factor along well accept size bed card too accept thank north month.,"Cluster 21: tree, bed, blue"
11.059647,10.785253,-1,Chance recognize size like civil condition we radio world case without.,Noise
11.599091,7.7594833,18,Gas yeah education model bed boy suffer.,"Cluster 18: sport, energy, gas"
12.282983,11.347722,107,Organization return party seven science how image tax development read what service such site.,"Cluster 107: pattern, movie, film"
10.345478,9.196118,41,Chance shoulder hit future add third dream.,"Cluster 41: mouth, head, shoulder"
13.968479,10.569163,134,Modern population mouth learn interest answer specific on.,"Cluster 134: human, race, fear"
14.635588,10.308364,84,Much structure writer Congress answer current coach care local hand conference former report.,"Cluster 84: administration, leader, congress"
12.657622,12.8821335,66,Force not paper candidate may president do sister once special speak argue.,"Cluster 66: window, end, sister"
9.977973,11.46967,26,Good enter ago under expert significant way discussion almost arm his kitchen.,"Cluster 26: pretty, wall, kitchen"
14.424035,11.435665,87,Save behavior recent respond significant teacher response go door true agreement degree involve.,"Cluster 87: couple, order, teacher"
13.98386,12.767737,25,Lay nothing summer color attorney similar structure see look.,"Cluster 25: court, attorney, lawyer"
9.493617,12.597077,6,Research strategy fish man clear hot across church sense nearly he.,"Cluster 6: begin, music, fish"
13.272686,8.488663,-1,Drop leave letter investment family away guy stock.,Noise
14.171717,12.237572,25,Accept certain report likely step past color road court catch and attack.,"Cluster 25: court, attorney, lawyer"
14.062268,12.399199,25,Leave stand someone likely case event.,"Cluster 25: court, attorney, lawyer"
11.557582,11.228038,-1,Official benefit discussion suffer last take shake nation.,Noise
12.533229,9.550502,172,Often area kid environmental fill probably security letter everybody data pick because.,"Cluster 172: resource, operation, town"
13.753017,11.036345,-1,Five year responsibility tonight answer three against part man worry serious.,Noise
9.561612,9.271636,22,Human any service kitchen drug clearly article kind across ever.,"Cluster 22: feeling, service, drug"
13.492228,9.877481,139,Before today avoid expect loss worker usually country clearly put.,"Cluster 139: wrong, south, southern"
11.686521,8.668466,152,Ball collection already any occur none.,"Cluster 152: material, culture, ball"
11.234061,8.310156,21,Bar commercial bed despite south yard again learn.,"Cluster 21: tree, bed, blue"
9.931219,10.392994,-1,Suffer can walk report then best news.,Noise
13.397959,10.529779,141,Arrive open wear coach how together explain budget a project avoid.,"Cluster 141: cultural, open, operation"
12.071968,13.148528,13,Most central when similar under site air tax discuss feeling black body.,"Cluster 13: attention, white, black"
13.333532,9.690253,-1,South economic protect day choose physical read nearly entire.,Noise
13.683812,10.662096,-1,Talk full prevent it away civil member story discussion during.,Noise
11.786074,9.08038,-1,Sort record use program raise direction second card together stage event democratic answer.,Noise
10.731835,9.256147,47,Fly without specific than someone fine.,"Cluster 47: performance, discover, fly"
13.105699,8.081119,124,Near together next door how stock gas save final fund year.,"Cluster 124: color, wind, century"
13.171481,8.050934,124,Difference Congress color meeting contain student customer card.,"Cluster 124: color, wind, century"
13.424791,12.184186,81,Including figure month police season my brother heart ready state.,"Cluster 81: fight, sing, brother"
12.242874,9.646665,-1,Thing official pull prove rate minute task specific western discover tell.,Noise
11.954011,8.24732,39,Trade yes plant again dream realize that support life successful room present.,"Cluster 39: energy, environmental, green"
11.11485,10.526622,127,Social energy eat rich action heavy identify hotel himself meeting everybody.,"Cluster 127: letter, sign, hotel"
10.478269,10.9215355,-1,Other rock message nation opportunity budget fact draw value.,Noise
14.311838,11.760905,-1,Security career suddenly realize education car door.,Noise
12.727446,11.853202,-1,Others parent agency material leg may matter remember red list.,Noise
12.381041,12.81369,-1,Major some technology assume girl approach.,Noise
10.125027,9.997527,34,Realize rule less hospital our reach break century sell.,"Cluster 34: member, mission, hospital"
14.019199,12.396068,25,Trial throughout company special particularly reduce old.,"Cluster 25: court, attorney, lawyer"
11.097004,9.624171,104,Raise century pass identify like glass hot.,"Cluster 104: stand, senior, glass"
11.237891,11.339463,-1,Raise hour forget artist decade agreement finally dream fast nor crime travel prove team.,Noise
9.9964285,9.432319,-1,Create well culture drug hot include those seven piece weight floor table.,Noise
12.419102,10.828159,-1,Ability course trouble should along effort.,Noise
13.295073,11.455894,-1,Gun approach test we bring record discussion charge.,Noise
12.011676,8.266771,39,Grow involve administration method our act she plant control.,"Cluster 39: energy, environmental, green"
12.845459,8.765512,-1,Car cost return staff heavy however.,Noise
11.41327,11.769719,-1,Soon ball might successful paper experience now page.,Noise
12.430391,9.75794,172,Make score available everything race already as wonder.,"Cluster 172: resource, operation, town"
10.85571,9.245393,47,Artist expect single behind theory pick fly quality.,"Cluster 47: performance, discover, fly"
13.058873,13.340949,17,Marriage heavy matter never stay grow.,"Cluster 17: wife, husband, marriage"
12.160279,8.626641,39,Spend drop different sort environmental benefit.,"Cluster 39: energy, environmental, green"
11.354938,10.547056,126,Wide general model everybody anyone paper bar night nearly international people.,"Cluster 126: wide, research, yard"
11.566359,11.198375,113,True discover audience receive black future seat available.,"Cluster 113: half, tv, audience"
10.805949,9.572273,102,Recognize people standard rest boy leg to carry.,"Cluster 102: boy, huge, leg"
11.24777,10.900549,-1,Consider certain speak argue although customer radio recently should I morning issue.,Noise
12.548818,9.882167,-1,None option personal large hit or near over today cause any agree statement.,Noise
13.862905,12.726397,25,Usually lawyer site relationship main system cut easy make.,"Cluster 25: court, attorney, lawyer"
11.963503,9.68751,154,Like event arrive wear such game lot young.,"Cluster 154: account, memory, ability"
11.81569,11.445114,-1,What wish task especially star floor news.,Noise
9.957557,10.204581,-1,Treatment south together couple force soldier price body assume.,Noise
10.0055065,10.402582,29,Trade send doctor art name respond project ask anything him once.,"Cluster 29: place, mission, doctor"
13.597782,12.905132,-1,Represent since modern those upon soon nearly describe car less while hot.,Noise
10.879298,11.2394495,-1,Voice glass music establish laugh cut floor.,Noise
13.213856,11.270007,-1,Also employee road newspaper year indeed boy determine poor.,Noise
12.343275,9.231749,-1,Focus clear how decade themselves pass strategy.,Noise
12.86457,10.847928,-1,Recently choose build age end again measure audience national this subject catch.,Noise
12.826625,11.963312,101,System poor series parent better still left large man early.,"Cluster 101: american, son, father"
11.264071,11.942166,95,Turn happy south guess yeah wonder there from smile class if later.,"Cluster 95: beat, heart, smile"
11.3915205,8.124783,20,Central table finally option action pressure explain move from feel down.,"Cluster 20: bed, plant, pressure"
13.03834,13.391804,17,Marriage minute weight threat clear sure either need.,"Cluster 17: wife, husband, marriage"
14.971729,10.070086,91,Democratic result past ready culture law thank image white no attorney share.,"Cluster 91: republican, democratic, democrat"
13.271853,11.654995,92,Boy without share prove while cost imagine build practice pattern do sit.,"Cluster 92: cold, boy, gun"
13.259654,11.345428,-1,Alone spend truth power participant would gun collection how book bad policy general.,Noise
11.567644,7.7585735,18,Radio son toward stock all gas.,"Cluster 18: sport, energy, gas"
11.403132,10.773455,-1,Answer attention painting ball development movement image not maintain house film energy wear common.,Noise
10.121929,10.117267,-1,Study outside central begin medical onto affect call will better team.,Noise
10.901818,8.887198,106,Really coach professor themselves situation commercial side.,"Cluster 106: cell, wind, coach"
14.749901,9.8792515,88,Election truth tonight too minute hotel soldier why list especially election.,"Cluster 88: morning, election, politics"
11.00795,8.061124,19,It style question tree give affect tough trade can.,"Cluster 19: language, pay, tree"
12.218598,10.23569,-1,Alone push describe stage give clearly group else take heart room resource live direction.,Noise
13.069763,10.857941,146,Close respond law imagine certain inside still authority throw research sort push.,"Cluster 146: science, article, research"
13.784224,9.289068,55,List wind trial know politics forward trade morning need subject develop.,"Cluster 55: wall, country, million"
14.245455,11.180116,-1,Middle outside today office school start than morning.,Noise
10.993816,10.878808,73,Radio late third candidate station go area quite amount.,"Cluster 73: station, ago, radio"
12.48198,12.478439,63,Cultural less not herself various information.,"Cluster 63: view, sister, daughter"
12.416123,12.880293,67,Exactly best woman mean lay nearly brother mind ask quickly direction once I.,"Cluster 67: world, ok, woman"
9.538664,9.257572,22,Sit method character drug yet person international color.,"Cluster 22: feeling, service, drug"
13.494156,9.007571,54,Push group population quickly industry kind people consumer instead picture within.,"Cluster 54: car, particularly, consumer"
13.108597,12.657074,17,Trouble line paper class couple family they necessary whether institution sort impact talk.,"Cluster 17: wife, husband, marriage"
14.535022,9.736847,80,Recently already reduce past when any political prepare relationship include exist.,"Cluster 80: technology, vote, politics"
13.053256,11.667517,92,Traditional boy according understand natural win probably use military.,"Cluster 92: cold, boy, gun"
10.5155525,11.597061,-1,Anything lot base agent beyond upon mission.,Noise
11.4136715,8.190478,20,Method home decision claim surface fill bed test certain.,"Cluster 20: bed, plant, pressure"
14.178056,12.419972,25,Experience think clear enter director national time life power participant cup court free.,"Cluster 25: court, attorney, lawyer"
14.731552,9.593184,-1,Help remember entire treatment country leader.,Noise
13.100144,9.217859,157,East party somebody mean indeed early purpose card work seem candidate.,"Cluster 157: future, join, network"
14.06464,9.278218,-1,Near name rather president happy short billion simple spend return month remain.,Noise
14.152691,12.355692,25,Report life follow trial continue mouth capital your team as white material.,"Cluster 25: court, attorney, lawyer"
12.000954,12.640795,59,Thousand occur minute sister successful center resource character site their.,"Cluster 59: happen, girl, woman"
14.769882,11.390038,75,Owner argue my beat image they foreign morning film explain economy college.,"Cluster 75: big, world, college"
12.1339655,8.539254,39,Environmental become make sometimes smile prove measure because management over.,"Cluster 39: energy, environmental, green"
12.88505,8.983034,157,The data condition media consider large only stuff.,"Cluster 157: future, join, network"
15.003867,9.874382,90,Nature Democrat above outside despite information large concern subject north pretty what dinner.,"Cluster 90: election, democrat, democratic"
10.725978,12.143818,38,Full view word board arrive group at figure artist people.,"Cluster 38: arrive, art, artist"
9.428506,10.504508,0,Note thing pattern their animal example similar mean.,"Cluster 0: pattern, animal, dog"
13.304032,13.244448,17,Up security information amount marriage mention wall.,"Cluster 17: wife, husband, marriage"
12.237829,7.3473697,8,Develop region many some model realize value north water necessary.,"Cluster 8: window, stock, water"
14.033482,9.182547,-1,Home everyone economy physical customer happy later Congress attack three road establish.,Noise
11.125104,10.453305,127,Executive simply hotel want strong debate certain dark avoid summer age lot team.,"Cluster 127: letter, sign, hotel"
12.953302,9.02939,157,Suffer situation anything network join want.,"Cluster 157: future, join, network"
12.269484,12.191776,103,Daughter section eye might chair set shoulder hospital rich apply sing three work.,"Cluster 103: light, fall, child"
10.791626,11.627378,94,Song system friend because receive cold stock particular effort fund civil or listen.,"Cluster 94: sing, music, song"
9.271116,9.743347,3,Get least watch blood test operation me chance kind.,"Cluster 3: board, operation, blood"
10.413173,10.380734,-1,Hospital early wait sound many forward smile challenge forget local.,Noise
12.772031,8.55918,137,Hope how reason pass prepare per continue about increase charge.,"Cluster 137: power, card, charge"
13.121035,13.323707,17,Or various or but man many marriage put mention second.,"Cluster 17: wife, husband, marriage"
12.731546,11.619448,97,Military issue process public cover building.,"Cluster 97: air, war, public"
14.5672455,10.3589945,84,Government set memory huge seek both view woman vote.,"Cluster 84: administration, leader, congress"
13.315323,12.894149,-1,Truth point relationship product experience strong dinner lawyer like dinner.,Noise
14.842768,8.642223,2,Foreign wait area explain indeed approach inside term factor tax I participant baby sense.,"Cluster 2: factor, place, tax"
13.376486,10.75079,142,That hot company performance charge me science be friend feeling thing.,"Cluster 142: subject, science, scientist"
12.092269,10.5417795,-1,Maybe evidence future time his research indicate room site consider civil end.,Noise
12.001264,11.131207,108,Who student relate deep view special write ground employee material body sing whatever.,"Cluster 108: ability, computer, director"
10.99839,8.805062,-1,Human western him coach always interest forward join past thank green.,Noise
11.386561,10.52186,126,Arrive yard like head tree alone official.,"Cluster 126: wide, research, yard"
10.028709,10.023352,34,Doctor leg member receive real arrive cover south standard computer action.,"Cluster 34: member, mission, hospital"
14.403231,11.405761,86,Take sit ever many teacher teacher election turn.,"Cluster 86: student, teacher, education"
13.078921,10.112411,161,Wall many your development girl hear recently job energy community society leave across.,"Cluster 161: natural, meeting, development"
14.522731,11.179119,86,Whose institution good treatment last sign full minute.,"Cluster 86: student, teacher, education"
13.159453,8.50681,129,Stock ask would turn probably future concern travel choose miss population.,"Cluster 129: build, power, stock"
9.3286705,11.827604,-1,Evidence affect we religious conference story network prove environmental computer wife physical.,Noise
12.963328,7.972206,-1,Show east single recent concern travel both computer wear so industry wind.,Noise
9.431771,12.64159,6,Would success first partner among tree high establish final gas war fish.,"Cluster 6: begin, music, fish"
12.65492,11.034801,169,Big town teach three game skill hope work final.,"Cluster 169: way, start, peace"
12.859096,9.513491,156,Conference window series likely whose those summer bar too so.,"Cluster 156: strategy, account, management"
12.770256,8.870266,-1,Moment they direction whatever tend product big charge father same record with continue.,Noise
9.83102,9.872182,32,Look woman because her theory section bring doctor always above.,"Cluster 32: wait, medical, doctor"
9.971232,11.741492,-1,Safe sound level certainly production pressure six carry then new write religious.,Noise
11.837415,11.453517,-1,Nearly face live rich item role identify miss pretty discussion realize and.,Noise
11.872595,12.001141,-1,Left nice star wish government spring learn group force nearly.,Noise
14.161926,8.686567,51,Matter bank individual begin unit start.,"Cluster 51: cost, born, bank"
11.048485,13.662634,1,Style hair option information describe attack attorney run although.,"Cluster 1: american, training, hair"
13.480945,10.420361,140,Reality try understand seven why alone class modern a production raise executive expect.,"Cluster 140: cultural, culture, determine"
14.960922,9.585632,-1,Adult when fact study democratic sing method data party lose commercial investment environment.,Noise
12.011929,7.7002554,-1,Sea alone natural stay relationship sister here record our garden technology environmental.,Noise
14.3090515,8.881302,50,Official government whom color pay last ahead.,"Cluster 50: week, pay, economic"
11.364853,10.719734,-1,Thousand clearly nor of up among dream only although local street.,Noise
15.197599,10.115823,-1,Poor decide democratic manage likely accept join kitchen dream daughter lose glass hear.,Noise
10.9359045,9.772249,-1,Community thousand onto attention of prepare leg threat.,Noise
15.000709,10.132146,91,Ground culture manager every nation my imagine staff Democrat.,"Cluster 91: republican, democratic, democrat"
13.195928,9.569725,160,Knowledge bring conference western already road at trip part town identify evening current.,"Cluster 160: door, conference, organization"
10.522973,11.435429,94,Sing official concern hit however magazine social dinner three everyone us should public.,"Cluster 94: sing, music, song"
10.31861,9.567707,46,Entire lay rock near establish marriage environmental doctor whole shoulder.,"Cluster 46: doctor, mention, rock"
11.449557,10.50279,126,Yard usually protect significant expert your trouble including majority maintain meeting whether.,"Cluster 126: wide, research, yard"
14.058295,12.339454,25,Pay thing drive represent leave case themselves get season give seem media.,"Cluster 25: court, attorney, lawyer"
14.059067,11.919236,45,See two response avoid heavy crime.,"Cluster 45: response, leader, crime"
13.340028,10.907856,-1,Scientist lawyer throw successful program show major whether allow mission nor leave along resource.,Noise
13.226482,11.447575,92,Person evidence mouth stand media gun safe.,"Cluster 92: cold, boy, gun"
10.094177,10.282338,-1,Treatment option them how analysis whatever detail a food morning.,Noise
12.149885,9.171808,-1,Local serve movement open down property thing spend lead however.,Noise
14.9477005,9.920261,90,Visit off beyond live science interview walk business final democratic.,"Cluster 90: election, democrat, democratic"
12.879399,8.367427,130,Step coach like bag term investment thank operation.,"Cluster 130: address, current, thank"
13.260318,8.886093,-1,While value product college office trade.,Noise
11.871368,7.9343786,-1,Tree act throw glass talk happen such fire site important sometimes.,Noise
13.74871,11.923176,44,Back social people police happy fall.,"Cluster 44: people, hour, police"
11.212682,9.162933,-1,Model term blue apply far ground second range talk area.,Noise
10.636714,10.769183,-1,Campaign red thus paper piece shoulder four chair former military play.,Noise
12.12785,11.220063,108,Five consumer eye cause left subject.,"Cluster 108: ability, computer, director"
12.985021,10.334483,-1,Home worker imagine than seem than you bar far.,Noise
13.154988,9.631674,-1,Value however speak I understand option.,Noise
11.816491,11.599611,121,Ground art film Mrs manage order into this east each.,"Cluster 121: audience, scene, image"
11.408033,8.115396,20,Service forget just few pressure power whole space.,"Cluster 20: bed, plant, pressure"
12.900011,11.173457,-1,Herself theory economy see maybe realize smile lot just radio environmental your.,Noise
10.902932,10.05649,61,Three floor concern talk Mrs the there old work let open.,"Cluster 61: office, night, person"
12.152778,12.722236,65,Game low which girl evidence rich public wear pressure.,"Cluster 65: seven, step, discover"
14.619876,10.446739,-1,May campaign establish section threat outside theory find he.,Noise
11.891757,9.183923,-1,Beat rest grow billion memory after generation work change.,Noise
11.169586,11.265282,-1,Ball fly house road floor hand car writer here.,Noise
13.573198,9.977232,-1,Impact relate experience environment whatever human me outside occur generation southern other.,Noise
12.076433,11.173626,108,Author behind probably happen middle American collection effect it.,"Cluster 108: ability, computer, director"
11.470016,8.808563,153,Anything find which center move watch possible matter cup.,"Cluster 153: table, worry, cup"
13.249767,8.216133,124,Century entire admit woman him guy in either continue everything.,"Cluster 124: color, wind, century"
13.931211,11.208557,-1,Present cold necessary black few president teach technology staff.,Noise
11.323009,10.498577,126,Bad direction expert site evening situation education now wide alone hotel area those either.,"Cluster 126: wide, research, yard"
12.360635,10.260805,165,The collection data operation itself career will choice magazine hope according.,"Cluster 165: collection, activity, long"
12.884004,10.516809,158,Specific against best mission report clearly employee find practice general someone.,"Cluster 158: debate, response, report"
12.066252,11.943853,-1,Peace so somebody thank arm may best them rest.,Noise
12.5501795,12.62327,-1,Worker develop hear tonight particular sister daughter final provide.,Noise
10.963078,9.623119,-1,Forget front service glass bank rock pattern list meet check born indicate catch.,Noise
12.882034,8.975748,157,Operation edge similar account green serious.,"Cluster 157: future, join, network"
12.157528,11.334156,107,Garden film through discuss require protect.,"Cluster 107: pattern, movie, film"
13.082357,9.952953,161,Across up indeed either book clear someone subject yourself simply executive morning.,"Cluster 161: natural, meeting, development"
14.577927,10.634659,-1,Herself to read outside case continue today war write ever leader along suddenly address.,Noise
12.200636,11.429107,107,Design doctor police then onto participant quite most audience single without.,"Cluster 107: pattern, movie, film"
12.313111,8.927311,-1,Way power quickly goal mention despite what then anyone respond on.,Noise
11.249577,10.21261,53,Stand leave together wall option student.,"Cluster 53: war, stand, field"
13.03023,11.364997,92,Within start arrive responsibility operation become class by mother conference particularly commercial share.,"Cluster 92: cold, boy, gun"
12.096416,9.593873,-1,Pm quickly prevent lose environment your movement live.,Noise
13.077315,11.891146,-1,Way course spring long wife born chance claim win medical particularly gun natural.,Noise
11.36891,9.857619,118,Arm minute mean recent century history kitchen culture speech sometimes minute.,"Cluster 118: unit, check, order"
11.64006,10.1947,147,Instead since around find high short enter physical follow your major security.,"Cluster 147: son, general, station"
11.862404,8.480917,39,First garden pretty himself land too management effort do card feel.,"Cluster 39: energy, environmental, green"
11.289582,11.473022,96,Home kind strong certain three tonight.,"Cluster 96: home, shake, wonder"
14.950075,9.829067,90,Left federal government happy them will coach piece majority alone bed event.,"Cluster 90: election, democrat, democratic"
10.879233,9.57459,102,Leg also customer represent simply huge front worry.,"Cluster 102: boy, huge, leg"
11.63684,9.469483,115,Area whole think method could win recognize protect.,"Cluster 115: memory, staff, letter"
10.491357,8.709717,-1,Want wear cut suggest government foot allow.,Noise
14.914789,8.678535,2,Base these direction develop stop his pull explain since measure here tax analysis.,"Cluster 2: factor, place, tax"
12.54553,10.100727,148,From character particularly push win positive reach product.,"Cluster 148: send, reach, customer"
13.625653,8.730513,57,Style property business better field hear international.,"Cluster 57: house, claim, property"
13.949613,12.732468,25,Agent agree material attorney some kind.,"Cluster 25: court, attorney, lawyer"
10.763595,11.720017,94,Think address pay response reduce recognize here instead no song such.,"Cluster 94: sing, music, song"
12.379026,9.630352,172,Consider operation nor similar win significant operation.,"Cluster 172: resource, operation, town"
11.557265,11.02646,113,West course early thus ok same writer trouble hope.,"Cluster 113: half, tv, audience"
10.883784,10.396386,127,Power contain third commercial bar important foreign safe maybe yeah commercial too person seat.,"Cluster 127: letter, sign, hotel"
10.180618,11.797347,-1,Writer citizen music force religious part full standard mouth design.,Noise
13.047996,13.367571,17,Wrong manage particularly fact according now husband have every responsibility save too others.,"Cluster 17: wife, husband, marriage"
11.781305,10.289413,147,Drop available raise age station civil.,"Cluster 147: son, general, station"
12.968969,8.561061,129,Build build capital drop I behavior.,"Cluster 129: build, power, stock"
12.820588,8.859325,157,Area end room service business side trade would available practice old a.,"Cluster 157: future, join, network"
14.955788,9.788792,90,Those me fly agency we if political watch.,"Cluster 90: election, democrat, democratic"
10.485499,9.367249,-1,Director above pull organization century catch not current mouth win.,Noise
11.830876,9.340188,150,Bag just forget fast event understand game popular.,"Cluster 150: available, seat, memory"
13.272435,8.614792,125,Activity through drive miss cost investment.,"Cluster 125: benefit, stock, investment"
12.932353,7.397386,5,Probably exactly economic whom past oil.,"Cluster 5: wife, high, oil"
11.502924,11.388231,-1,Level show tonight team film present factor live firm.,Noise
11.858878,8.971839,89,Road cover sport long inside open arrive.,"Cluster 89: goal, difference, sort"
13.175194,13.289085,17,Positive eye personal west author town risk plan conference option marriage.,"Cluster 17: wife, husband, marriage"
13.885123,12.695835,25,Budget senior work work side she attorney avoid will hard professional treat someone.,"Cluster 25: court, attorney, lawyer"
10.119099,8.561266,14,Degree skin kind institution do and window deal everybody until.,"Cluster 14: business, nice, skin"
14.113023,12.185097,-1,Administration class large leader require create court forget new school why local each.,Noise
10.216569,10.126991,-1,Join season so hot yard stand deal seem doctor east affect.,Noise
13.5009365,10.679817,142,Small product attention manager write student.,"Cluster 142: subject, science, scientist"
11.911598,7.988721,-1,Popular our heart tree plan east side coach manager owner know range fire protect.,Noise
11.863235,8.858765,89,Sell moment throw management which today minute.,"Cluster 89: goal, difference, sort"
14.969577,9.759619,90,Others budget instead Democrat computer PM decision couple suggest street under subject outside.,"Cluster 90: election, democrat, democratic"
13.098976,11.413348,92,Every gun it news hundred collection business understand lose than year garden.,"Cluster 92: cold, boy, gun"
11.70571,8.707496,152,Six ball risk return pay after few white.,"Cluster 152: material, culture, ball"
11.800729,10.662923,111,Nice good region adult top our type run.,"Cluster 111: sign, tv, region"
12.393479,10.861284,-1,Subject capital color approach think still usually war attention piece body process win.,Noise
13.638154,9.483204,-1,Travel billion many win treat while most true main beat someone.,Noise
11.318652,11.215042,-1,Your wish decade available thing its anyone.,Noise
11.231693,8.306485,21,With night off fine sort blue world.,"Cluster 21: tree, bed, blue"
12.9421835,13.303622,17,Single get two off rather do.,"Cluster 17: wife, husband, marriage"
12.82191,12.84112,-1,Her interest happen evidence somebody happen try policy indicate price too family.,Noise
12.398364,11.616241,107,Successful involve I pattern old beyond share such himself choose any whose series.,"Cluster 107: pattern, movie, film"
11.546083,11.750689,-1,Arrive whom beautiful off environment left debate instead check hand pick company action.,Noise
10.207282,9.988184,34,Against care hospital risk step southern.,"Cluster 34: member, mission, hospital"
11.306063,10.360614,126,Piece side skin night no station forget direction manager young walk fill.,"Cluster 126: wide, research, yard"
14.039036,11.908215,45,Any Mrs power value guess who crime thank growth leader explain action high.,"Cluster 45: response, leader, crime"
10.515187,11.074003,43,Sit family increase seek know sing may already.,"Cluster 43: dream, visit, rock"
13.755112,9.860215,139,Girl course discover especially feel hot serious southern.,"Cluster 139: wrong, south, southern"
12.202655,8.097073,39,Evening green very recent hold moment.,"Cluster 39: energy, environmental, green"
12.92203,11.896088,99,Family deal decision manager agency enjoy can.,"Cluster 99: society, parent, family"
15.259224,10.29787,77,Republican statement world different cultural trial member often.,"Cluster 77: person, cut, republican"
10.978911,11.384272,-1,Institution network ago of ever clear play nation.,Noise
10.150079,11.076153,27,Dinner no success safe animal hotel wind up page we.,"Cluster 27: sound, hotel, dinner"
13.000332,11.057426,122,Smile side at could research respond authority have several value.,"Cluster 122: north, reflect, newspaper"
